0,1
GRN,FCRL4
ICAM3,LRP2
ICAM3,ITGB1
ICAM3,LRP1
ICAM3,LDLR
ICAM3,VLDLR
ICAM3,SORL1
ICAM3,RYR1
ICAM3,PTPRS
ICAM3,FCRL4
CEACAM1,FCRL4
PRLH,IFNAR2
FGF4,FCRL4
ST6GAL1,FCRL4
SCT,IFNAR2
SCT,IFNAR1
SCT,FCRL4
FGF20,FCRL4
CEACAM6,FCRL4
DLL3,LRP2
DLL3,LRP1
FGF22,FCRL4
MADCAM1,ITGB1
MIF,TLR2
MIF,FCRL4
TCN2,ITGB2
TCN2,ITGB1
TCN2,ITGAM
TCN2,FCRL4
LGALS1,ITGB2
LGALS1,CD44
LGALS1,ITGB3
LGALS1,FCRL4
NID2,ITGB1
NID2,ITGA2
NID2,TMPRSS6
NID2,PTPRS
F9,LRP2
F9,LRP8
F9,STAB2
MMP2,FCRL4
CCL22,IFNAR2
CCL22,IFNAR1
CCL22,FCRL4
CCL17,IFNAR2
CCL17,IFNAR1
TG,ITGB2
TG,ITGB1
TG,LRP1
TG,ITGAM
TG,ITGA2
TG,LDLR
TG,VLDLR
TG,LRP8
TG,PTPRS
TG,FCRL4
PLAT,LRP2
PLAT,ITGB1
PLAT,COL13A1
PLAT,SDC1
PLAT,ITGA2
PLAT,TMPRSS6
PLAT,LDLR
PLAT,LRP8
PLAT,STAB2
PLAT,FCRL4
DKK4,ITGB1
AMH,FCRL4
TGFB1,FGFR1
TGFB1,CD44
TGFB1,LRP2
TGFB1,FCRL4
ICAM5,LRP2
ICAM5,ITGB1
ICAM5,LRP1
ICAM5,ITGAM
ICAM5,LDLR
ICAM5,VLDLR
ICAM5,FCRL4
COMP,FCRL4
HGF,ITGB2
HGF,FGFR1
HGF,ITGB5
HGF,ITGB3
HGF,SDC3
HGF,FCRL4
LAMB1,LRP2
LAMB1,ITGAM
LAMB1,ITGB8
LAMB1,DDR2
LAMB1,ITGA11
LAMB1,TMPRSS6
LAMB1,DDR1
LAMB1,CD47
LAMB1,LRP8
LAMB1,ABCA1
LAMB1,CD46
LAMB1,COL17A1
LAMB1,MAG
SERPINE1,ITGB2
SERPINE1,ITGB1
SERPINE1,ITGAM
SERPINE1,ITGB8
SERPINE1,SDC1
SERPINE1,ITGA2
SERPINE1,TMPRSS6
SERPINE1,LDLR
SERPINE1,VLDLR
SERPINE1,LRP8
SERPINE1,MAG
SERPINE1,PTPRS
SERPINE1,FCRL4
CCL2,IFNAR2
CCL2,IFNAR1
CCL1,IFNAR2
CCL13,IFNAR2
CCL13,IFNAR1
COL1A1,ITGB5
COL1A1,ITGB3
COL1A1,ITGB8
COL1A1,ITGA6
COL1A1,CD47
COL1A1,ABCA1
COL1A1,ITGAX
COL1A1,CD151
COL1A1,COL17A1
COL1A1,GPC4
COL1A1,ADGRL1
COL1A1,MAG
COL1A1,ITGA3
COL1A1,TNFRSF10A
COL1A1,ITGA10
VTN,MET
VTN,ERBB4
VTN,ITGB2
VTN,FGFR1
VTN,CD44
VTN,ITGB7
VTN,LRP2
VTN,CD36
VTN,FLT4
VTN,ABCA1
VTN,SDC3
VTN,ITGAX
VTN,GPC1
VTN,FCRL4
CXCL6,IFNAR2
APOC3,ITGB2
APOC3,ITGB5
APOC3,CD44
APOC3,ITGB1
APOC3,ITGAM
APOC3,ITGB3
APOC3,ITGB6
APOC3,ITGAV
APOC3,ITGB8
APOC3,SDC1
APOC3,ITGA1
APOC3,ITGA2
APOC3,PLAUR
APOC3,ITGA5
APOC3,FLT4
APOC3,TMPRSS6
APOC3,ITGA2B
APOC3,VLDLR
APOC3,TLR4
APOC3,LRP8
APOC3,ABCA1
APOC3,CD81
APOC3,GPIHBP1
APOC3,MAG
APOC3,LEPR
APOC3,ITGA3
APOC3,FCRL4
CLEC2B,IFNAR2
CLEC2B,IFNAR1
SELPLG,FGFR1
SELPLG,ADRB2
SELPLG,ITGB5
SELPLG,ITGA4
SELPLG,CD44
SELPLG,LRP2
SELPLG,ITGB1
SELPLG,SDC2
SELPLG,ITGB3
SELPLG,SDC1
SELPLG,PLAUR
SELPLG,LDLR
SELPLG,TLR2
SELPLG,VLDLR
SELPLG,CALCR
SELPLG,TLR4
SELPLG,SDC3
SELPLG,IL6R
SELPLG,MUC6
SELPLG,GPIHBP1
SELPLG,CD40
SELPLG,CD79A
SELPLG,FCRL4
SELPLG,IL17RC
FGF6,FCRL4
IL26,IFNAR2
ULBP1,IFNAR2
LAMA4,ITGB8
LAMA4,ITGA1
LAMA4,ITGA2
LAMA4,ITGA5
LAMA4,FLT4
LAMA4,ABCA1
LAMA4,MAG
HBEGF,FCRL4
LTF,ITGB2
LTF,LRP2
LTF,ITGB1
